Id,Label,timeset,isseed,seedrank,subscribercount,videocount,viewcount(100s),country,publishedat,daysactive
UCUR03ZSZlEvCO6EWwv4jU2w,Absol Vidéos,,yes,1,381952,157,338741,FR,2011-06-19T22:26:43.000Z,3045
UCYnvxJ-PKiGXo_tYXpWAC-w,Micode,,yes,2,628413,65,293457,FR,2017-01-09T17:07:52.000Z,1015
UCRhyS_ylPQ5GWBl1lK92ftA,Léo - TechMaker,,yes,3,347983,186,289879,FR,2015-11-23T00:31:45.000Z,1428
UCPFChjpOgkUqckj3378jt5w,Heliox,,yes,4,120159,70,63473,FR,2017-05-13T10:54:45.000Z,891
UCa_8QKdrQkjQR2Oo23RT1uw,Olivier Chambon,,yes,5,44094,589,43334,FR,2007-11-16T14:09:12.000Z,4357
UCSULDz1yaHLVQWHpm4g_GHA,monsieur bidouille,,yes,6,97583,74,43090,not set,2013-10-24T22:20:41.000Z,2187
UCH6ppHEvV3_WIXEwmhv9HEg,Deus Ex Silicium,,yes,7,53888,71,27861,not set,2014-09-10T15:04:58.000Z,1867
UC5cs06DgLFeyLIF_II7lWCQ,Cookie connecté,,yes,8,31828,56,14655,FR,2015-07-21T11:32:59.000Z,1553
UC_J5Yhr04zytVRoxkt1Hlmg,Absol Human,,no,,42196,83,21087,FR,2015-04-07T20:44:34.000Z,1658
UCc3auP4KRed7dDBQEtYslbw,Micode Talks,,no,,5017,1,249,not set,2018-06-07T14:19:05.000Z,501
UCljgvfi_NnUrNJVHp_HGHwA,Léo - LiveMaker,,no,,4994,19,202,not set,2016-01-18T18:49:01.000Z,1372
UCOLNDRtP8tUK5i-6jLO0r4Q,Guillaume Slash,,no,,207025,207,154550,FR,2015-12-12T14:41:59.000Z,1409
UCwj6PF5w6z0Gxyz23PCOl9Q,Quantum,,no,,43647,23,4891,FR,2015-07-30T21:03:35.000Z,1544
UCeVpI1jEdMUfboWOtl_Bq6g,Iconoclaste,,no,,371398,245,451581,FR,2014-08-27T09:20:52.000Z,1881
UCDg-IpBx2a3MgCqSvnHCfvw,Bronol,,no,,131132,49,123897,FR,2008-04-06T14:16:21.000Z,4215
UC4IvegtE25i1iWDUhb5bQhA,Ascuns,,no,,68752,59,30549,FR,2015-09-06T15:46:58.000Z,1506
UCfGfdZuYifBYb1fmZcL1JBQ,Trash,,no,,1681892,227,2863177,FR,2015-02-10T18:36:43.000Z,1714
UCNPdmQb1CkYd-02btbdA79g,NÉO • Trash,,no,,261294,33,122721,FR,2016-06-14T21:07:11.000Z,1224
UCjED9uS41ioeFuPfbR-OBlw,Les Freres Poulain,,no,,88076,118,55000,FR,2014-11-13T12:41:26.000Z,1803
UCVqx3vXNghSqUcVg2nmegYA,U꞊RI,,no,,39499,47,24893,FR,2015-01-05T14:57:44.000Z,1750
UC9_nxvBohH1G2yR77XTdA2g,Tommy Desrochers,,no,,40891,233,42924,CA,2009-12-21T22:23:30.000Z,3590
UCfSAX4DQjY0m2JxhjWzjDbA,Revolution-3D,,no,,8590,45,3997,FR,2016-07-26T09:39:53.000Z,1182
UCz0CqjiwwN-31A-3oy7i4qw,RetroEtGeek,,no,,2196,39,1625,FR,2015-06-30T13:08:33.000Z,1574
UCiDJtJKMICpb9B1qf7qjEOA,Adam Savage’s Tested,,no,,4336102,3729,7632399,US,2010-03-08T19:17:09.000Z,3514
UCcapFP3gxL1aJiC8RdwxqRA,David Waelder,,no,,129655,170,166957,US,2012-02-03T23:22:44.000Z,2816
UCO39zTYpvWL5jx2q15Ma_Hw,izzy swan,,no,,608931,401,838933,US,2008-05-10T23:57:10.000Z,4180
UC27YZdcPTZM24PgjztxanEQ,Punished Props Academy,,no,,466994,654,308806,US,2011-12-23T09:57:25.000Z,2859
UChtY6O8Ahw2cz05PS2GhUbg,Make:,,no,,1674508,2683,3414036,US,2006-03-23T04:54:50.000Z,4960
UC6x7GwJxuoABSosgVXDYtTw,I Like To Make Stuff,,no,,2420910,302,1708035,US,2013-02-06T00:52:50.000Z,2448
UC4v2tQ8GqP0RbmAzhp4IFkQ,April Wilkerson,,no,,966189,246,1157054,US,2012-09-24T01:37:10.000Z,2583
UCNKcMBYP_-18FLgk4BYGtfw,AWE me,,no,,7264319,389,8027997,not set,2013-01-11T01:42:36.000Z,2474
UCzGbp-rRVNwyFhn9gHoZr5g,I Build It - DIY Tips and Tricks,,no,,184415,237,275740,CA,2015-01-09T13:43:23.000Z,1746
UC-7XY-W_C84cW2MNqujgFpg,Jay Bates - Woodworking Videos,,no,,554152,363,599237,US,2012-12-09T04:22:58.000Z,2507
UCp68_FLety0O-n9QU6phsgw,colinfurze,,no,,7825606,257,8534558,GB,2006-11-15T23:10:11.000Z,4722
UCn9w4wb-MYSqbWEjenIC1FQ,Bert de Weert,,no,,16026,0,0,NL,2014-07-16T13:56:30.000Z,1923
UCiEk4xHBbz0hZNIBBpowdYQ,jimmydiresta,,no,,1541726,399,2400037,US,2006-03-10T23:27:45.000Z,4972
UC3_VCOJMaivgcGqPCTePLBA,frank howarth,,no,,505089,256,586169,US,2006-07-08T15:06:07.000Z,4853
UCkhZ3X6pVbrEs_VzIPfwWgQ,Make it Extreme,,no,,1082732,96,1370638,GR,2015-07-04T18:29:24.000Z,1570
UC9fGq2-6FaftcegcIadLf6A,Samuel Mamias,,no,,71186,250,121805,FR,2011-12-30T11:14:18.000Z,2852
UCtaykeSsGhtn2o2BsPm-rsw,Make Something,,no,,523969,243,408311,US,2013-01-26T18:49:44.000Z,2459
